Vendor Name, Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
ENGIE,800122163,ENGIE,1800044411,2,116.78,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,3,29.78,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,4,90.42,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,5,27.20,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,6,337.50,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,7,141.27,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,8,356.75,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,9,31.61,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,10,33.75,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,11,409.42,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,12,152.85,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,13,498.35,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,14,33.09,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,15,420.31,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,16,185.22,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,17,24.16,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,18,93.72,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,19,61.74,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,20,32.42,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,21,78.83,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,22,295.45,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,23,61.74,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,24,"3,536.50",REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,25,365.58,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,26,123.48,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,27,33.09,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,28,195.51,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,29,368.86,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,30,124.01,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,31,92.32,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,32,206.51,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,33,99.00,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,34,725.90,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,35,305.72,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,36,98.99,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,37,57.03,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,38,256.60,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,39,77.17,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,40,961.72,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,41,751.25,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,42,61.74,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,43,181.76,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,44,"1,155.90",REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,45,159.76,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,46,653.74,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
ENGIE,800122163,ENGIE,1800044411,47,49.63,REACTIVE MEP,03/12/18,,Technical and Service Support,Works - Construction
