Invoice Number, Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
1025864,800123558,HAYS SPECIALIST RECRUITMENT,1025864,1,874.30,FRS STAFF AGENCY,07/01/19,874.30,People Services,Human Resources
1025865,800123570,HAYS SPECIALIST RECRUITMENT,1025865,1,764.12,FRS STAFF AGENCY,07/01/19,764.12,People Services,Human Resources
1025866,800123565,HAYS SPECIALIST RECRUITMENT,1025866,1,372.54,FRS STAFF AGENCY,07/01/19,372.54,People Services,Human Resources
1025867,800123590,HAYS SPECIALIST RECRUITMENT,1025867,1,585.42,FRS STAFF AGENCY,07/01/19,585.42,Operational Resilience,Human Resources
1025868,800123544,HAYS SPECIALIST RECRUITMENT,1025868,1,300.05,FRS STAFF AGENCY,07/01/19,300.05,Service Improvement,Human Resources
1025869,800123571,HAYS SPECIALIST RECRUITMENT,1025869,1,838.72,FRS STAFF AGENCY,07/01/19,838.72,Technical and Service Support,Human Resources
1025870,800123559,HAYS SPECIALIST RECRUITMENT,1025870,1,482.16,FRS STAFF AGENCY,07/01/19,482.16,Management Support,Human Resources
1025871,800123591,HAYS SPECIALIST RECRUITMENT,1025871,1,"1,848.60",FRS STAFF AGENCY,07/01/19,"1,848.60",CPO Delivery,Human Resources
1025872,800123577,HAYS SPECIALIST RECRUITMENT,1025872,1,647.52,FRS STAFF AGENCY,07/01/19,647.52,Training and Professional Development,Human Resources
1025873,800123564,HAYS SPECIALIST RECRUITMENT,1025873,1,603.15,FRS STAFF AGENCY,07/01/19,603.15,Management Support,Human Resources
1025874,800123574,HAYS SPECIALIST RECRUITMENT,1025874,1,482.16,FRS STAFF AGENCY,07/01/19,482.16,Management Support,Human Resources
1025875,800123554,HAYS SPECIALIST RECRUITMENT,1025875,1,"1,454.25",FRS STAFF AGENCY,07/01/19,"1,454.25",Operational Policy,Human Resources
1025876,800123583,HAYS SPECIALIST RECRUITMENT,1025876,1,620.90,FRS STAFF AGENCY,07/01/19,620.90,Procurement,Human Resources
1025877,800123579,HAYS SPECIALIST RECRUITMENT,1025877,1,532.20,FRS STAFF AGENCY,07/01/19,532.20,People Services,Human Resources
1025878,800123580,HAYS SPECIALIST RECRUITMENT,1025878,1,"1,635.60",FRS STAFF AGENCY,07/01/19,"1,635.60",Information and Communication Technology,Human Resources
