 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Title
800060854,ADECCO UK LIMITED=============,27104443,1,554.75,PROF FEES-SOFTWARE CONSULTANTS,27/04/2015,554.75,Information and Communication Technology,Human Resources
800060941,ADECCO UK LIMITED=============,27111303,1,554.75,PROF FEES-SOFTWARE CONSULTANTS,27/04/2015,554.75,Information and Communication Technology,Human Resources
800060942,ADECCO UK LIMITED=============,27111304,1,554.75,PROF FEES-SOFTWARE CONSULTANTS,27/04/2015,554.75,Information and Communication Technology,Human Resources
220415G,CARTAMUNDI UK LIMITED,2716190,1,520,PRINTING,27/04/2015,520,Communications,Facilities & Management S
210415H,RS COMPONENTS LTD=============,279062176,1,274.6,ACQUISITIONS,27/04/2015,360.82,Information and Communication Technology,Building Constr Materials
210415H,RS COMPONENTS LTD=============,279062176,2,22.8,ACQUISITIONS,27/04/2015,,Information and Communication Technology,Building Constr Materials
210415H,RS COMPONENTS LTD=============,279062176,3,11.92,ACQUISITIONS,27/04/2015,,Information and Communication Technology,Building Constr Materials
210415H,RS COMPONENTS LTD=============,279062176,4,51.5,ACQUISITIONS,27/04/2015,,Information and Communication Technology,Building Constr Materials
210415H,DRAEGER SAFETY UK LIMITED=====,2910011061,1,49.7,PROTECTIVE EQUIPT - PARTS,27/04/2015,425.96,Technical and Service Support,Fire & Rescue
210415H,DRAEGER SAFETY UK LIMITED=====,2910011061,2,376.26,PROTECTIVE EQUIPT - PARTS,27/04/2015,,Technical and Service Support,Fire & Rescue
210415H,DRAEGER SAFETY UK LIMITED=====,2910011328,1,636.5,PROTECTIVE EQUIPT - PARTS,27/04/2015,806.4,Technical and Service Support,Fire & Rescue
210415H,DRAEGER SAFETY UK LIMITED=====,2910011328,2,125.9,PROTECTIVE EQUIPT - PARTS,27/04/2015,,Technical and Service Support,Fire & Rescue
210415H,DRAEGER SAFETY UK LIMITED=====,2910011328,3,44,PROTECTIVE EQUIPT - PARTS,27/04/2015,,Technical and Service Support,Fire & Rescue
210415H,DELTOR COMMUNICATIONS LTD.===,30685,1,"5,329.00",PRINTING,27/04/2015,"5,329.00",Communications,Facilities & Management S
220415G,DELTOR COMMUNICATIONS LTD.===,30727,1,370,PRINTING,27/04/2015,370,Communications,Facilities & Management S
220415H,SAFEGUARD PEST CON. & ENV.LTD,31164,1,685,PEST CONTROL,27/04/2015,685,Technical And Service Support,Environmental Services
220415G,STEPHEN AUSTIN & SONS LTD=====,35462,1,571,GENERAL CONSUMABLES,27/04/2015,571,Procurement,Facilities & Management S
090415G,UNDERSTANDING RECRUITMENT,3791,1,"6,300.00",FRS STAFF AGENCY,27/04/2015,"6,300.00",Information and Communication Technology,Human Resources
090415G,UNDERSTANDING RECRUITMENT,3793,1,"10,080.00",CONSULTANTS,27/04/2015,"10,080.00",Information and Communication Technology,Human Resources
090415G,UNDERSTANDING RECRUITMENT,3794,1,"8,820.00",FRS STAFF AGENCY,27/04/2015,"8,820.00",Information and Communication Technology,Human Resources
140415H,COMPUTACENTRE================,3880481920,1,"1,063.33",PURCHASES-COMPUTER/EQUIPMENT,27/04/2015,"1,063.33",Property PFI,ICT
210415H,CANON (UK) LTD===============,401640638,1,"4,400.00",OFFICE EQUIPMENT,27/04/2015,"7,770.12",Communications,ICT
210415H,CANON (UK) LTD===============,401640638,2,422.68,OFFICE EQUIPMENT,27/04/2015,,Communications,ICT
210415H,CANON (UK) LTD===============,401640638,3,341.36,OFFICE EQUIPMENT,27/04/2015,,Communications,ICT
210415H,CANON (UK) LTD===============,401640638,4,"2,606.08",OFFICE EQUIPMENT,27/04/2015,,Communications,ICT
210415H,ZIP HEATERS (UK) LTD,424862,1,"4,438.00",STRATEGIC (CYCLICAL),27/04/2015,"4,438.00",Technical And Service Support,Facilities & Management S
220415H,CK DIRECT,4311,1,"4,850.00",STRATEGIC (NON CYCLICAL),27/04/2015,"4,850.00",Technical and Service Support,Facilities & Management S
220415H,CK DIRECT,4312,1,"7,375.00",STRATEGIC (NON CYCLICAL),27/04/2015,"7,375.00",Technical and Service Support,Facilities & Management S
090415G,GLOBAL TO LOCAL LTD,437/25/AF203,1,"1,500.00",CONSULTANTS,27/04/2015,"2,800.00",EU Fired-Up Project,Consultancy
090415G,GLOBAL TO LOCAL LTD,437/25/AF203,2,"1,300.00",CONSULTANTS,27/04/2015,,EU Fired-Up Project,Consultancy
210415H,KNIGHTON CLEANING SERVICES LTD,45272,1,306.46,SPECIAL CLEANS,27/04/2015,306.46,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,1,"2,186.94",GENERAL CLEANS,27/04/2015,"74,965.50",Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,2,"2,023.46",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,3,"1,428.84",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,4,"1,154.62",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,5,"1,207.35",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,6,"1,068.32",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,7,758.96,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,8,"1,263.99",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,9,"1,078.24",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,10,"1,901.47",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,11,"2,260.06",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,12,775.23,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,13,"1,448.52",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,14,763.25,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,15,"1,517.78",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,16,"1,752.14",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,17,778.93,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,18,"2,302.80",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,19,"1,838.05",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,20,931.96,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,21,933.18,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,22,"1,083.13",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,23,"1,767.94",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,24,"1,050.67",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,25,824.34,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,26,971.22,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,27,"1,335.48",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,28,771.83,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,29,"1,557.08",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,30,"1,273.60",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,31,"1,395.51",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,32,784.09,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,33,939.33,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,34,698.83,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,35,"1,514.40",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,36,"1,337.32",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,37,951.28,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,38,"2,798.92",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,39,"1,034.69",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,40,917.3,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,41,"1,046.98",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,42,949.77,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,43,"2,279.98",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,44,"1,858.45",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,45,"1,044.82",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,46,689.04,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,47,680.46,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,48,790.88,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,49,"2,322.07",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,50,919.77,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,51,"1,593.07",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,52,"2,624.01",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,53,769.1,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,54,785.95,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,55,13,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,56,"1,068.72",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,57,811.71,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,58,"1,055.41",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45874,59,"1,281.26",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,1,994.97,GENERAL CLEANS,27/04/2015,"69,084.01",Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,2,"1,097.63",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,3,"1,028.74",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,4,"1,239.39",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,5,602.72,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,6,"1,382.70",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,7,"2,003.99",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,8,"1,903.74",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,9,"3,231.97",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,10,"1,017.81",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,11,497.6,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,12,"1,234.76",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,13,"1,025.49",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,14,"1,071.55",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,15,"1,096.19",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,16,"1,480.49",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,17,"1,242.38",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,18,591.02,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,19,"12,380.25",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,20,"1,195.24",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,21,398.11,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,22,"1,512.91",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,23,"3,120.36",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,24,"1,731.71",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,25,855.97,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,26,"1,306.35",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,27,"1,928.78",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,28,"1,244.76",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,29,"1,206.08",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,30,"1,229.46",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,31,"6,631.89",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,32,733.93,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,33,916.19,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,34,"1,844.47",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,35,"1,074.95",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,36,814.3,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,37,"1,620.53",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,38,"1,586.89",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,39,"1,312.42",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,40,"1,214.44",GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415G,KNIGHTON CLEANING SERVICES LTD,45875,41,480.88,GENERAL CLEANS,27/04/2015,,Technical And Service Support,Cleaning & Janitorial
220415H,CK DIRECT,4892,1,"8,395.00",STRATEGIC (NON CYCLICAL),27/04/2015,"8,395.00",Technical and Service Support,Facilities & Management S
220415H,CK DIRECT,4987,1,"3,524.90",CATERING FIXTURES,27/04/2015,"3,524.90",Technical And Service Support,Facilities & Management S
220415H,CK DIRECT,4988,1,"3,524.90",CATERING FIXTURES,27/04/2015,"3,524.90",Technical And Service Support,Facilities & Management S
800059546,*OCS GROUP UK LTD,5000083686-2,1,678.81,CATERING,27/04/2015,678.81,Technical And Service Support,Catering
800060863,*OCS GROUP UK LTD,5000083690-09,1,592.5,REFRESHMENTS,27/04/2015,592.5,Community Safety Delivery,Catering
800060866,*OCS GROUP UK LTD,5000083690-12,1,261,REFRESHMENTS,27/04/2015,261,Corporate Projects,Catering
800060893,*OCS GROUP UK LTD,5000083690-39,1,"1,131.00",REFRESHMENTS,27/04/2015,"1,131.00",Communications,Catering
800060780,*OCS GROUP UK LTD,5000091499-1,1,"3,232.97",CATERING,27/04/2015,"3,232.97",Technical And Service Support,Catering
800060781,*OCS GROUP UK LTD,5000091499-2,1,678.81,CATERING,27/04/2015,678.81,Technical And Service Support,Catering
160415H,WILLIAM SUGDEN & SONS LTD=====,51379,1,"1,570.00",UNIFORMS - POMS,27/04/2015,"1,570.00",Procurement,Clothing
220415H,FAHEY BUILDERS LTD============,5270,1,"9,875.00",STRATEGIC (NON CYCLICAL),27/04/2015,"9,875.00",Technical and Service Support,"Works - Construction, R&M"
800060944,*OCS GROUP UK LTD,5800011790,1,"4,762.75",REFRESHMENTS,27/04/2015,"4,762.75",LIFE - LFB Funded,Catering
220415G,PREMIER HOSE TECHNOLOGIES LTD=,623623,1,749.62,PROTECTIVE EQUIPT - PARTS,27/04/2015,"1,120.62",Technical and Service Support,Fire & Rescue
220415G,PREMIER HOSE TECHNOLOGIES LTD=,623623,2,371,PROTECTIVE EQUIPT - PARTS,27/04/2015,,Technical and Service Support,Fire & Rescue
210415H,SHARPE PRITCHARD==============,80505,1,315,GENERAL,27/04/2015,315,Procurement,Legal Services
141021,D & G BLOCK MANAGEMENT,80675,1,"7,700.00",RENTS,27/04/2015,"7,700.00",Technical And Service Support,Facilities & Management S
200415H,ASTEC SURVEYS LIMITED=========,ASL-15-054,1,795,ASBESTOS,27/04/2015,835,Technical and Service Support,Environmental Services
200415H,ASTEC SURVEYS LIMITED=========,ASL-15-054,2,40,ASBESTOS,27/04/2015,,Technical and Service Support,Environmental Services
220415G,EQUIFAX LTD,C5021561,1,"1,022.00",COMPANY & LOCAL AUTH SEARCHES,27/04/2015,"1,022.00",Fire Safety Regulation,ICT
141018,HOWARD & COMPANY,D1118,1,"2,880.00",LEGAL PROFESSIONAL FEES-GENERL,27/04/2015,"2,880.00",Central Finance,Consultancy
220415H,E&S B DAVIS LTD,DAV/55037,1,295,OPERATIONAL EQUIP-PURCHASE,27/04/2015,295,Operations Fire Stations,Environmental Services
220415H,E&S B DAVIS LTD,DAV/55089,1,295,OPERATIONAL EQUIP-PURCHASE,27/04/2015,295,Operations Fire Stations,Environmental Services
220415H,E&S B DAVIS LTD,DAV/55143,1,325,OPERATIONAL EQUIP-PURCHASE,27/04/2015,325,Operations Fire Stations,Environmental Services
220415H,E&S B DAVIS LTD,DAV/55222,1,295,OPERATIONAL EQUIP-PURCHASE,27/04/2015,295,Operations Fire Stations,Environmental Services
220415H,E&S B DAVIS LTD,DAV/55305,1,295,OPERATIONAL EQUIP-PURCHASE,27/04/2015,295,Operations Fire Stations,Environmental Services
220415G,E&S B DAVIS LTD,DAV/55492,1,100,OPERATIONAL EQUIP-PURCHASE,27/04/2015,395,Operations Fire Stations,Environmental Services
220415G,E&S B DAVIS LTD,DAV/55492,2,295,OPERATIONAL EQUIP-PURCHASE,27/04/2015,,Operations Fire Stations,Environmental Services
220415H,E&S B DAVIS LTD,DAV/55612,1,590,OPERATIONAL EQUIP-PURCHASE,27/04/2015,590,Operations Fire Stations,Environmental Services
220415H,E&S B DAVIS LTD,DAV/55688,1,295,OPERATIONAL EQUIP-PURCHASE,27/04/2015,295,Operations Fire Stations,Environmental Services
220415H,E&S B DAVIS LTD,DAV/55753,1,295,OPERATIONAL EQUIP-PURCHASE,27/04/2015,295,Operations Fire Stations,Environmental Services
220415H,E&S B DAVIS LTD,DAV/55754,1,590,OPERATIONAL EQUIP-PURCHASE,27/04/2015,590,Operations Fire Stations,Environmental Services
220415H,E&S B DAVIS LTD,DAV/55869,1,885,OPERATIONAL EQUIP-PURCHASE,27/04/2015,885,Operations Fire Stations,Environmental Services
220415H,E&S B DAVIS LTD,DAV/55873,1,295,OPERATIONAL EQUIP-PURCHASE,27/04/2015,295,Operations Fire Stations,Environmental Services
220415H,E&S B DAVIS LTD,DAV/56043,1,295,OPERATIONAL EQUIP-PURCHASE,27/04/2015,295,Operations Fire Stations,Environmental Services
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,1,765.77,FUEL,27/04/2015,"14,762.39",Operations Non Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,2,427.43,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,3,410.95,FUEL,27/04/2015,,Procurement,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,4,362.05,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,5,351.69,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,6,311.64,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,7,297.22,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,8,290.55,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,9,278.04,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,10,272.98,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,11,269.95,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,12,262.93,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,13,256.95,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,14,246.08,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,15,236.69,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,16,233.36,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,17,230.34,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,18,221.97,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,19,221.11,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,20,217.73,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,21,212.27,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
800060802,ALLSTAR BUSINESS SOLUTIONS LTD,E2004584217,22,207.57,FUEL,27/04/2015,,Operations Fire Stations,Vehicle Management
